561	140	1	758	710	334	107	291	465	761
964	996	776	890	21	290	975	667	610	55
900	740	865	274	797	130	430	140	279	801
823	418	763	446	750	237	945	350	466	296
731	82	726	346	566	491	877	428	2	287
854	983	865	406	498	824	447	501	187	488
663	234	377	611	96	426	812	357	202	487
912	766	129	48	815	145	883	103	662	738
353	666	435	326	295	895	585	358	338	340
452	845	636	152	792	365	118	96	259	60
73	444	968	659	164	160	622	555	570	594
130	961	721	638	630	253	8	726	306	547
918	486	155	654	60	872	165	714	746	455
383	436	769	432	637	924	887	609	374	625
176	733	586	661	148	622	327	774	11	676
767	199	214	326	787	59	663	726	528	678
766	384	653	405	909	992	646	912	961	798
169	785	739	918	369	905	590	145	375	907
243	233	392	809	624	964	108	66	619	374
749	318	547	16	292	293	331	169	331	708
124	163	570	937	49	276	771	141	355	981
427	362	8	380	463	720	16	374	61	227
597	864	230	827	477	975	3	964	538	628
23	2	928	938	870	710	455	92	514	285
827	641	247	960	366	417	438	512	22	3
24	401	225	90	259	680	190	328	111	830
216	271	909	703	405	69	148	136	934	579
690	539	572	998	295	645	561	772	163	493
935	377	507	729	168	402	278	359	149	884
935	296	104	332	234	177	520	390	730	748
178	379	376	254	731	834	800	982	272	518
826	476	267	343	667	593	833	548	501	701
558	651	268	885	819	41	798	414	663	937
24	543	536	302	289	641	9	22	265	281
293	586	402	894	286	311	750	508	388	779
874	681	309	713	7	548	421	961	811	90
590	312	374	98	583	526	240	100	633	300
103	789	0	679	165	277	663	311	694	962
714	239	7	493	72	186	319	913	124	798
386	442	280	339	371	545	899	402	296	804
313	707	521	870	616	211	449	148	930	126
783	501	758	594	680	942	93	278	494	760
191	200	264	395	128	946	588	362	92	43
290	987	803	499	295	329	596	400	395	233
85	974	260	442	340	440	44	550	175	962
775	974	82	173	668	783	22	860	512	224
743	48	924	985	718	11	229	365	933	558
2	96	890	907	685	386	356	538	340	938
17	347	22	260	145	907	428	2	863	979
786	337	389	293	642	623	740	97	590	5
443	93	257	855	336	445	114	264	955	109
944	575	648	301	951	165	750	474	582	45
383	259	795	739	928	462	844	801	175	705
247	339	211	775	310	506	438	795	632	805
621	422	70	462	455	629	254	379	456	857
157	602	562	560	359	349	346	501	705	681
887	979	583	412	317	56	138	483	926	329
868	716	112	737	266	949	922	183	31	236
51	634	731	505	283	938	187	361	247	757
648	723	385	350	566	555	908	847	636	337
134	503	702	911	389	564	823	251	356	57
757	115	635	390	164	766	698	466	674	93
104	573	762	399	535	855	490	78	874	604
721	637	518	550	351	729	644	839	894	115
169	860	755	524	97	765	996	412	343	737
737	677	584	755	813	778	497	213	486	609
105	177	116	416	707	180	378	523	969	561
969	765	940	35	951	606	858	342	687	667
437	387	88	540	695	182	706	575	480	171
734	271	18	921	272	527	58	319	566	718
245	177	907	644	663	17	96	392	670	477
706	634	853	835	563	165	817	825	570	909
420	787	647	18	813	371	751	678	363	520
948	479	761	349	760	832	393	762	554	529
973	772	219	380	644	397	522	117	119	225
849	558	562	896	268	300	633	26	380	966
755	86	252	559	779	772	560	419	627	786
601	757	880	20	621	190	219	818	662	578
91	869	169	3	343	297	701	600	820	313
65	323	405	516	381	851	957	246	8	197
445	849	858	330	772	214	646	899	942	682
174	612	25	917	805	221	315	497	910	400
658	455	851	327	603	691	685	395	827	635
517	754	115	864	313	872	836	634	101	756
72	643	575	747	32	220	758	447	285	950
515	489	541	965	844	279	394	542	223	1000
354	930	982	867	115	340	131	707	965	537
202	699	577	40	192	476	16	782	100	750
499	844	513	937	405	370	378	795	266	120
396	278	925	292	869	20	26	975	196	803
618	881	644	615	77	326	347	728	449	124
869	460	72	849	110	375	712	223	386	224
208	784	763	924	105	353	360	408	611	616
243	144	662	698	960	750	267	495	388	367
902	450	43	834	151	432	745	854	251	548
883	349	316	15	843	559	753	136	777	573
301	820	513	194	353	760	860	972	229	522
922	828	369	311	642	446	517	589	132	939
424	579	815	206	505	268	839	906	284	753
749	941	979	50	584	897	46	695	12	382
46	488	615	217	285	563	749	156	133	589
34	223	734	242	661	730	987	718	609	817
883	514	133	646	198	722	345	669	970	933
741	47	451	291	833	316	965	368	247	782
463	3	538	563	211	649	866	127	562	28
21	514	24	93	555	971	824	105	225	359
229	964	237	873	180	963	988	614	169	438
914	959	96	195	32	573	415	765	210	359
521	855	185	892	998	330	894	41	843	665
78	360	598	87	983	246	483	258	629	56
822	753	980	396	470	215	910	647	62	676
138	806	535	316	487	608	614	983	896	668
753	513	675	733	576	308	491	874	876	757
497	416	880	711	229	359	976	815	187	868
714	226	219	652	904	724	280	875	698	992
426	550	293	808	894	292	223	911	498	310
931	512	30	58	590	281	352	665	390	984
127	969	478	749	242	301	38	520	443	232
354	355	431	7	989	252	772	210	7	162
737	522	683	842	659	436	612	692	168	21
1	615	172	376	890	145	409	258	871	696
790	182	428	875	258	912	220	493	559	644
647	413	671	426	590	510	846	657	353	406
422	491	112	861	432	109	228	511	298	522
777	889	13	277	413	879	564	974	873	256
7	579	790	925	446	69	735	222	607	919
728	424	932	972	248	730	420	482	849	387
975	304	247	250	883	247	351	850	1	737
514	552	384	169	563	69	893	559	490	941
257	578	297	553	836	439	705	365	886	839
358	684	576	386	607	141	662	184	263	123
669	342	230	617	765	761	153	862	282	186
66	151	525	734	698	520	410	719	318	251
114	320	116	670	983	808	384	201	756	291
575	577	599	783	382	328	634	135	645	622
524	300	91	334	135	85	367	528	760	157
941	38	430	51	685	291	129	278	579	216
190	54	251	593	545	547	91	572	858	303
556	827	818	514	208	464	77	600	67	411
556	750	33	690	138	386	782	84	135	102
350	88	637	10	146	986	146	724	275	571
977	598	252	528	566	578	398	845	532	863
285	388	947	549	468	120	221	980	832	805
927	665	928	581	950	263	692	651	522	367
727	941	948	896	716	233	564	738	784	487
533	221	262	458	308	420	585	415	773	338
599	495	914	592	723	219	724	134	585	584
714	214	23	470	644	188	840	399	7	766
134	652	376	70	881	657	975	555	574	666
14	849	747	556	764	797	680	823	136	631
223	91	549	637	444	78	947	97	195	46
937	873	899	213	143	947	395	107	23	540
398	458	261	352	854	215	577	397	657	558
310	713	430	61	129	943	36	715	756	691
935	740	721	355	542	341	542	994	749	231
165	492	268	259	490	137	668	731	69	819
327	219	637	148	68	748	954	369	922	388
590	267	28	596	197	107	947	569	785	503
786	193	118	603	185	309	241	830	392	900
905	977	924	743	374	588	754	383	491	980
19	603	123	333	807	769	958	411	782	330
684	75	217	120	356	996	973	674	760	76
847	840	993	183	72	218	858	284	65	793
158	137	486	865	127	837	12	80	637	276
28	361	849	950	917	10	465	875	634	694
25	593	540	435	278	473	821	349	875	720
352	418	156	434	294	364	617	625	192	712
958	633	80	362	749	385	80	718	338	904
481	866	721	169	782	8	63	967	458	552
405	82	662	725	691	406	536	400	757	388
347	243	799	952	215	69	765	236	181	23
997	978	994	588	873	580	713	899	868	752
555	336	237	693	666	670	464	641	414	316
947	195	672	13	6	775	977	831	977	797
985	356	725	865	801	767	711	842	828	189
411	837	177	243	670	861	770	22	825	729
678	839	358	406	159	628	535	2	637	909
753	888	258	133	471	926	447	942	181	35
641	322	91	830	299	793	251	481	870	473
839	586	90	6	83	401	939	105	911	356
715	925	258	622	325	31	368	640	394	756
65	867	506	294	881	402	772	87	781	529
970	862	720	528	243	802	207	944	702	591
11	744	920	252	846	489	160	578	948	876
934	830	103	891	450	764	625	540	408	307
74	244	813	808	227	38	320	135	792	711
148	14	781	876	754	883	346	297	846	953
308	47	136	249	21	67	434	999	841	680
341	913	65	801	323	13	125	778	934	816
453	765	806	302	911	191	501	251	523	901
524	893	638	591	829	288	419	23	529	934
34	497	50	278	489	352	357	29	897	540
555	413	126	62	487	451	120	920	295	334
171	571	1	236	321	128	422	88	243	320
599	576	373	980	616	906	864	398	975	19
847	566	872	105	685	242	666	258	25	835
578	78	292	165	718	339	184	402	260	23
988	337	533	722	818	135	818	85	546	652
500	448	57	280	935	944	527	630	216	2
884	566	241	236	397	397	401	808	644	770
