0,98	0,88	0,88	0,12	0,47	0,94	0,32	0,39	0,07	0,01
0,57	0,69	0,43	0,95	0,22	0,30	0,10	0,09	0,41	0,18
0,64	0,30	0,45	0,15	0,88	0,59	0,31	0,47	0,67	0,50
0,76	0,10	0,14	0,98	0,51	0,97	0,43	0,55	0,07	0,55
0,30	1,00	0,18	0,58	0,09	0,34	0,24	0,57	0,24	0,88
0,64	0,38	0,08	0,67	0,05	0,99	0,43	0,71	0,53	0,74
0,57	0,35	0,17	0,87	0,22	0,82	0,54	0,13	0,77	0,49
0,59	0,07	0,83	0,48	0,88	0,45	0,42	0,48	0,68	0,23
0,83	0,02	0,71	0,53	0,76	0,54	0,93	0,76	0,23	0,80
0,71	0,84	0,73	0,47	0,71	0,32	0,36	0,24	0,03	0,94
0,78	0,95	0,49	0,27	0,53	0,84	0,14	0,49	0,87	0,92
0,67	0,60	0,36	0,05	0,40	0,47	0,23	0,99	0,17	0,50
0,52	0,18	0,80	0,34	0,98	0,51	0,19	0,06	0,03	0,25
0,12	0,57	0,83	0,06	0,06	0,84	0,30	0,63	0,63	0,14
0,52	0,30	0,48	0,96	0,70	0,67	0,36	0,86	0,86	0,46
0,16	0,64	0,82	0,89	0,27	0,71	0,15	0,90	0,62	0,56
0,20	0,43	0,75	0,63	0,89	0,19	0,77	0,14	0,99	0,22
0,03	0,92	0,30	0,76	0,32	0,90	0,94	0,47	0,62	0,25
0,05	0,41	0,81	0,72	0,61	0,89	0,05	0,69	0,26	0,27
0,79	0,18	0,58	0,77	0,31	0,82	0,84	0,06	0,30	0,98
0,50	0,28	0,70	0,45	0,10	0,61	0,85	0,79	0,82	0,52
0,00	0,74	0,33	0,47	0,90	0,58	0,22	0,91	0,69	0,77
0,37	0,12	0,44	0,89	0,68	0,90	0,34	0,31	0,58	0,65
0,24	0,50	0,95	0,45	0,59	0,91	0,03	0,60	0,83	0,22
0,05	0,72	0,05	0,72	0,51	0,52	0,31	0,18	0,74	0,16
0,71	0,41	0,87	0,21	0,57	0,85	0,54	0,03	0,78	0,61
0,71	0,15	0,88	0,24	0,77	0,33	0,15	0,84	0,00	0,66
0,71	0,44	0,93	0,83	0,50	0,03	0,78	0,30	0,84	0,76
0,58	0,86	0,24	0,50	0,06	0,38	0,82	0,73	0,49	0,90
0,07	0,78	0,29	0,73	0,71	0,66	0,88	0,33	0,42	0,81
0,19	0,28	0,15	0,97	0,94	0,56	0,20	0,87	0,54	0,01
0,95	0,95	0,39	0,20	0,08	0,44	0,99	0,59	0,42	0,78
0,75	0,94	0,78	0,16	0,76	0,98	0,02	0,36	0,15	0,34
0,93	0,51	0,32	0,80	0,11	0,84	0,96	0,50	0,15	0,17
0,15	0,90	0,30	0,60	0,61	0,13	0,98	0,26	0,38	0,03
0,96	0,04	0,86	0,95	0,96	0,90	0,95	0,85	0,17	0,36
0,44	0,50	0,90	0,97	0,04	0,09	0,42	0,15	0,26	0,26
0,74	0,84	0,84	0,20	0,43	0,19	0,23	0,34	0,34	0,77
0,86	0,70	0,33	0,39	0,85	0,90	0,30	0,23	0,63	0,75
0,81	0,04	0,03	0,81	0,15	0,86	0,84	0,99	0,79	0,33
0,11	0,18	0,27	1,00	0,24	0,73	0,38	0,34	0,46	0,43
0,55	0,88	0,03	0,25	0,42	0,08	0,04	0,13	0,05	0,57
0,17	0,39	0,35	0,08	0,76	0,13	0,38	0,02	0,42	0,67
0,45	0,75	0,88	0,64	0,33	0,90	0,84	0,40	0,64	0,84
0,03	0,71	0,81	0,60	0,10	0,67	0,35	0,34	0,35	0,60
0,83	0,58	0,36	0,69	0,02	0,79	0,85	1,00	0,50	0,35
0,19	0,15	0,01	0,23	0,43	0,64	0,72	0,40	0,46	0,37
0,71	0,88	0,20	0,48	0,79	0,94	0,44	0,69	0,71	0,71
0,02	0,17	0,76	0,42	0,09	0,48	0,36	0,38	0,80	0,18
0,18	0,59	0,23	0,34	0,12	0,48	0,18	0,00	0,92	0,41
0,23	0,58	0,89	0,67	0,09	0,11	0,38	0,09	0,03	0,42
0,52	0,04	0,27	0,34	0,25	0,69	0,33	0,97	0,65	0,34
0,12	0,84	0,35	0,25	0,58	0,14	0,13	0,51	0,06	0,41
0,93	0,34	0,40	0,32	0,42	0,58	0,79	0,04	0,20	0,30
0,75	0,01	0,74	0,62	0,30	0,07	0,50	0,13	0,96	0,11
0,24	0,26	0,36	0,78	0,06	0,38	0,47	0,46	0,56	0,43
0,97	0,16	0,42	0,63	0,90	0,24	0,34	0,17	0,93	0,44
0,02	0,01	0,29	0,74	0,29	0,09	0,99	0,17	0,73	0,43
0,95	0,10	0,41	0,16	0,07	0,89	0,36	0,18	0,68	0,63
0,91	0,30	0,89	0,07	0,52	0,67	0,80	0,37	0,26	0,68
